job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills,job_type_skills
Cloud Engineer,Cloud DevOps Engineer - Data Analytics / Monitoring / AWS / Java...,"Braunschweig, Germany",via Monster.de,Full-time,False,Germany,2024-01-01 00:04:23,True,False,Germany,,,,XIBIX Solutions GmbH,"['java', 'aws', 'azure', 'windows', 'terraform']","{'cloud': ['aws', 'azure'], 'os': ['windows'], 'other': ['terraform'], 'programming': ['java']}"
Data Engineer,Data-Engineer (w/m/d) für On-Premise-Systeme der operativen...,"Rhineland-Palatinate, Germany",via Recruit.net,Full-time,False,Germany,2024-01-01 00:04:23,True,False,Germany,,,,Westnetz GmbH,"['sql', 'nosql']","{'programming': ['sql', 'nosql']}"
Data Engineer,Experte Data Analysis Defect Engineering (w/m/div.),"Reutlingen, Germany",via Stepstone,Full-time and Part-time,False,Germany,2024-01-01 00:04:26,False,False,Germany,,,,Bosch Gruppe,,
Software Engineer,Performance Analyst,Chile,via Sercanto,Full-time,False,Chile,2024-01-01 00:04:31,True,False,Chile,,,,Confidencial,"['sql', 'excel']","{'analyst_tools': ['excel'], 'programming': ['sql']}"
Software Engineer,Senior Systems Platform Engineer,"Dublin, Ireland",via Careers At Mastercard,Full-time,False,Ireland,2024-01-01 00:04:55,True,False,Ireland,,,,Mastercard,['visio'],{'analyst_tools': ['visio']}
Data Analyst,Entry-Level Data Analyst,Anywhere,via The Elite Job,Full-time and Part-time,True,Singapore,2024-01-01 00:04:57,False,False,Singapore,hour,,25.0,HR Admin,"['python', 'r', 'sql', 'tableau', 'power bi']","{'analyst_tools': ['tableau', 'power bi'], 'programming': ['python', 'r', 'sql']}"
Data Engineer,AI Data Transformation Intern,Singapore,via FastJobs,Contractor and Internship,False,Singapore,2024-01-01 00:05:11,False,False,Singapore,,,,CERTIS GROUP,"['python', 'linux']","{'os': ['linux'], 'programming': ['python']}"
Data Analyst,"Capital Market Data Analyst- Part time, Remote",India,via Jobrapido.com,Part-time,False,India,2024-01-01 00:05:16,True,False,India,,,,Next Recruiting,"['sql', 'python', 'bigquery', 'excel', 'looker', 'power bi', 'tableau']","{'analyst_tools': ['excel', 'looker', 'power bi', 'tableau'], 'cloud': ['bigquery'], 'programming': ['sql', 'python']}"
Data Engineer,Data Engineer - Senior,"Hyderabad, Telangana, India   (+4 others)",via FedEx Careers,Full-time,False,India,2024-01-01 00:05:44,True,False,India,,,,FedEx,['express'],{'webframeworks': ['express']}
Software Engineer,SAP Analyst,Canada,via Recruit.net,Full-time,False,Canada,2024-01-01 00:06:04,True,False,Canada,,,,Ampstek,"['sql', 'sap', 'power bi', 'excel']","{'analyst_tools': ['sap', 'power bi', 'excel'], 'programming': ['sql']}"
Data Scientist,Data Scientist  Buna,Jeddah Saudi Arabia,via وظائف,Full-time,False,Saudi Arabia,2024-01-01 00:06:25,False,False,Saudi Arabia,,,,شركة,,
Data Scientist,Data Scientist  Buna,Dammam Saudi Arabia,via وظائف,Full-time,False,Saudi Arabia,2024-01-01 00:06:25,False,False,Saudi Arabia,,,,شركة دولية,,
Data Analyst,Jr data analyst,"Bucaramanga, Santander, Colombia",via Sercanto,Full-time,False,Colombia,2024-01-01 00:06:33,True,False,Colombia,,,,Jobzem (70660763),,
Senior Data Analyst,"Senior Data Analyst - Remote Work - Medellin, Colombia","Medellín, Medellin, Antioquia, Colombia",via Sercanto,Full-time,False,Colombia,2024-01-01 00:06:33,True,False,Colombia,,,,Bairesdev,"['sql', 'python', 'r']","{'programming': ['sql', 'python', 'r']}"
Data Scientist,Data scientist 1626245047 1,"Medellín, Medellin, Antioquia, Colombia",via Sercanto,Full-time,False,Colombia,2024-01-01 00:06:34,False,False,Colombia,,,,Jobzem (70714217),,
Senior Data Engineer,Data engineer sr cons aws santillana,"Bogotá, Bogota, Colombia",via Sercanto,Full-time,False,Colombia,2024-01-01 00:06:42,True,False,Colombia,,,,Jobzem (70714587),,
Senior Data Engineer,Data Engineer Sr,"Buenos Aires, Argentina",via BeBee,Full-time,False,Argentina,2024-01-01 00:07:03,True,False,Argentina,,,,CDA Informática,"['sql', 'python', 'aws', 'hadoop']","{'cloud': ['aws'], 'libraries': ['hadoop'], 'programming': ['sql', 'python']}"
Senior Data Engineer,Senior Data Engineer,"Buenos Aires, Argentina",via BeBee,Full-time,False,Argentina,2024-01-01 00:07:07,False,False,Argentina,,,,GoFundMe,"['sql', 'python', 'java', 'c++', 'snowflake', 'airflow']","{'cloud': ['snowflake'], 'libraries': ['airflow'], 'programming': ['sql', 'python', 'java', 'c++']}"
Software Engineer,Staff engineer nerdai international,"Mendoza, Capital Department, Mendoza Province, Argentina",via Sercanto,Full-time,False,Argentina,2024-01-01 00:07:09,True,False,Argentina,,,,Varsity Tutors,,
Data Engineer,Data Engineer,"New South Wales, Australia",via Jobrapido.com,Full-time,False,Australia,2024-01-01 00:07:19,True,False,Australia,,,,Espire Infolabs Pty Ltd,"['python', 'azure', 'snowflake']","{'cloud': ['azure', 'snowflake'], 'programming': ['python']}"
Senior Data Engineer,Data Engineer Senior,"São José dos Campos, Sao Jose dos Campos - State of São Paulo, Brazil",via Catho,Full-time,False,Brazil,2024-01-01 00:07:35,True,False,Brazil,,,,ZAPPTS SOLUCOES,"['sql', 'python', 'java', 'mysql', 'postgresql', 'spark', 'airflow', 'tableau', 'power bi']","{'analyst_tools': ['tableau', 'power bi'], 'databases': ['mysql', 'postgresql'], 'libraries': ['spark', 'airflow'], 'programming': ['sql', 'python', 'java']}"
Data Analyst,Stagiaire Data Analyst BI H/F,"Poissy, France",via Recruit.net,Full-time and Internship,False,France,2024-01-01 00:07:51,False,False,France,,,,Emotors,"['python', 'sql', 'vue', 'power bi']","{'analyst_tools': ['power bi'], 'programming': ['python', 'sql'], 'webframeworks': ['vue']}"
Data Analyst,DATA ANALYST (H/F),France,via Recruit.net,Full-time,False,France,2024-01-01 00:07:51,False,False,France,,,,APEC,"['sql', 'power bi']","{'analyst_tools': ['power bi'], 'programming': ['sql']}"
Data Analyst,Data Analyst- H/F/X,France,via Recruit.net,Full-time,False,France,2024-01-01 00:07:51,False,False,France,,,,Société Générale,"['vba', 'c#', 'sql', 'r', 'python', 'jupyter', 'power bi', 'docker', 'jira']","{'analyst_tools': ['power bi'], 'async': ['jira'], 'libraries': ['jupyter'], 'other': ['docker'], 'programming': ['vba', 'c#', 'sql', 'r', 'python']}"
Data Analyst,Manager Data Analyst (H/F),"Montigny-le-Bretonneux, France",via Recruit.net,Full-time,False,France,2024-01-01 00:07:51,True,False,France,,,,Publicis Sapient,"['sql', 'python', 'mongodb', 'mongodb', 'aws', 'gcp', 'azure', 'snowflake', 'spark', 'tableau', 'qlik', 'dax']","{'analyst_tools': ['tableau', 'qlik', 'dax'], 'cloud': ['aws', 'gcp', 'azure', 'snowflake'], 'databases': ['mongodb'], 'libraries': ['spark'], 'programming': ['sql', 'python', 'mongodb']}"
Data Engineer,Data Engineer F/H,France,via Indeed,Full-time,False,France,2024-01-01 00:08:17,False,False,France,,,,CARAZ,"['sql', 'python', 'sql server', 'azure', 'terraform', 'jira']","{'async': ['jira'], 'cloud': ['azure'], 'databases': ['sql server'], 'other': ['terraform'], 'programming': ['sql', 'python']}"
Data Engineer,Data Engineer Spark / Hadoop H/F,"Île-de-France, France",via Recruit.net,Full-time,False,France,2024-01-01 00:08:17,False,False,France,,,,ALFI : Financial Markets Consultancy Services,"['python', 'java', 'scala', 'spark']","{'libraries': ['spark'], 'programming': ['python', 'java', 'scala']}"
Software Engineer,"AI/ML Lead Software Engineer Job in Colombo, Sri Lanka","Colombo, Sri Lanka",via Virtusa,Full-time,False,Sri Lanka,2024-01-01 00:24:56,False,False,Sri Lanka,,,,Virtusa,"['python', 'aws', 'azure', 'flask', 'jenkins']","{'cloud': ['aws', 'azure'], 'other': ['jenkins'], 'programming': ['python'], 'webframeworks': ['flask']}"
Data Scientist,Data Scientist,"Porto, Portugal",via Jobrapido.com,Full-time,False,Portugal,2024-01-01 00:25:00,False,False,Portugal,,,,Eva Global,,
Senior Data Analyst,Fulfillment Senior Data Analyst,"Porto, Portugal",via Jobrapido.com,Full-time,False,Portugal,2024-01-01 00:25:00,False,False,Portugal,,,,Farfetch,"['sql', 'bigquery', 'excel', 'tableau', 'looker', 'power bi']","{'analyst_tools': ['excel', 'tableau', 'looker', 'power bi'], 'cloud': ['bigquery'], 'programming': ['sql']}"
Data Analyst,Engineering Ops Data Analyst,"Lisbon, Portugal",via Jobrapido.com,Full-time,False,Portugal,2024-01-01 00:25:00,False,False,Portugal,,,,Talkdesk,"['aws', 'power bi', 'looker', 'docker', 'jenkins', 'github', 'jira', 'confluence', 'twilio']","{'analyst_tools': ['power bi', 'looker'], 'async': ['jira', 'confluence'], 'cloud': ['aws'], 'other': ['docker', 'jenkins', 'github'], 'sync': ['twilio']}"
Data Analyst,Procurement Data Analyst (M/F) - Pine Cliffs Resort,"Faro, Portugal",via Jobrapido.com,Full-time,False,Portugal,2024-01-01 00:25:00,True,False,Portugal,,,,United Investments Portugal (Uip),"['excel', 'powerpoint']","{'analyst_tools': ['excel', 'powerpoint']}"
Data Scientist,Staff - Data Scientist Lisboa,"Lisbon, Portugal",via Jobrapido.com,Full-time,False,Portugal,2024-01-01 00:25:03,False,False,Portugal,,,,Ey,"['sql', 'python', 'scikit-learn', 'pandas', 'numpy', 'keras', 'jupyter', 'flow']","{'libraries': ['scikit-learn', 'pandas', 'numpy', 'keras', 'jupyter'], 'other': ['flow'], 'programming': ['sql', 'python']}"
Data Scientist,Data Scientist - Lisboa,"Lisbon, Portugal",via Jobrapido.com,Full-time and Temp work,False,Portugal,2024-01-01 00:25:03,False,False,Portugal,,,,Findhu,"['python', 'java', 'r', 'c++', 'azure', 'aws', 'numpy', 'scikit-learn', 'pandas', 'keras', 'tensorflow', 'pytorch', 'hadoop', 'spark']","{'cloud': ['azure', 'aws'], 'libraries': ['numpy', 'scikit-learn', 'pandas', 'keras', 'tensorflow', 'pytorch', 'hadoop', 'spark'], 'programming': ['python', 'java', 'r', 'c++']}"
Data Scientist,Data Scientist  Buna,Dubai - United Arab Emirates,via وظائف,Full-time,False,United Arab Emirates,2024-01-01 00:25:13,False,False,United Arab Emirates,,,,شركة مؤسسية,,
Software Engineer,Software Engineer,Dubai - United Arab Emirates,via BeBee,Full-time,False,United Arab Emirates,2024-01-01 00:25:17,False,False,United Arab Emirates,,,,Canonical,"['nosql', 'sql', 'python', 'mongodb', 'mongodb', 'postgresql', 'mysql', 'redis', 'openstack', 'kafka', 'linux', 'ubuntu', 'kubernetes']","{'cloud': ['openstack'], 'databases': ['mongodb', 'postgresql', 'mysql', 'redis'], 'libraries': ['kafka'], 'os': ['linux', 'ubuntu'], 'other': ['kubernetes'], 'programming': ['nosql', 'sql', 'python', 'mongodb']}"
Data Engineer,Data Center Lead Engineer / Starszy Projektant (HVAC),"Wrocław, Poland",via Energy Jobline,Full-time,False,Poland,2024-01-01 00:25:39,False,False,Poland,,,,PM Group,,
Data Engineer,Data Integration Engineer,"Bangkok, Thailand",via JOBTOPGUN,Full-time,False,Thailand,2024-01-01 00:26:06,False,False,Thailand,,,,บริษัท เนทติเซนท์ จำกัด,['sap'],{'analyst_tools': ['sap']}
Data Analyst,"Trainee, Data Analysis and Trainee, IoT Product Development","Helsinki, Finland",via LinkedIn Finland,Internship,False,Finland,2024-01-01 00:26:15,False,False,Finland,,,,ANDRITZ,"['python', 'matlab', 'pandas', 'scikit-learn', 'react', 'node.js']","{'libraries': ['pandas', 'scikit-learn', 'react'], 'programming': ['python', 'matlab'], 'webframeworks': ['node.js']}"
Software Engineer,Senior Software Engineer,"Cape Town, South Africa",via Talent.com,Full-time,False,South Africa,2024-01-01 00:26:34,True,False,South Africa,,,,Sweepsouth,"['elixir', 'go', 'graphql']","{'libraries': ['graphql'], 'programming': ['elixir', 'go']}"
Data Analyst,Lead Marketing Data Analyst,"Broughton, Chester, UK",via Recruit.net,Full-time,False,United Kingdom,2024-01-01 00:26:49,True,False,United Kingdom,,,,CGP Books,,
Business Analyst,"BI Consultant - Remote - £55,000","North Yorkshire, UK",via Recruit.net,Full-time,False,United Kingdom,2024-01-01 00:26:52,True,False,United Kingdom,,,,Nigel Frank International,"['sql', 'sql server', 'azure', 'ssis', 'power bi']","{'analyst_tools': ['ssis', 'power bi'], 'cloud': ['azure'], 'databases': ['sql server'], 'programming': ['sql']}"
Data Scientist,Data Scientist Intern (6-12 months),"Cambridgeshire, UK",via Jobrapido.com,Full-time and Internship,False,United Kingdom,2024-01-01 00:26:59,False,False,United Kingdom,,,,SLB,"['python', 'sql', 'tensorflow', 'pytorch']","{'libraries': ['tensorflow', 'pytorch'], 'programming': ['python', 'sql']}"
Data Scientist,Principal Data Scientist,"Cambridgeshire, UK",via Recruit.net,Full-time,False,United Kingdom,2024-01-01 00:26:59,False,False,United Kingdom,,,,VRS-UK,"['python', 'r', 'sql', 'numpy', 'pandas', 'scikit-learn', 'keras', 'tensorflow', 'git']","{'libraries': ['numpy', 'pandas', 'scikit-learn', 'keras', 'tensorflow'], 'other': ['git'], 'programming': ['python', 'r', 'sql']}"
Data Scientist,Lead Data Scientist,United Kingdom,via Jobrapido.com,Full-time,False,United Kingdom,2024-01-01 00:26:59,False,False,United Kingdom,,,,Lloyds Banking Group,"['python', 'sql', 'pandas']","{'libraries': ['pandas'], 'programming': ['python', 'sql']}"
Data Engineer,Head of Data Engineering,"Greater London, UK",via Recruit.net,Full-time,False,United Kingdom,2024-01-01 00:27:10,True,False,United Kingdom,,,,KE Technology Business,"['python', 'sql', 'aws', 'azure', 'snowflake', 'kafka', 'spark', 'hadoop', 'airflow', 'graphql']","{'cloud': ['aws', 'azure', 'snowflake'], 'libraries': ['kafka', 'spark', 'hadoop', 'airflow', 'graphql'], 'programming': ['python', 'sql']}"
Senior Data Scientist,Analytics Engineer/Sr Analytics Engineer,United Kingdom,via DNV Careers,Full-time,False,United Kingdom,2024-01-01 00:27:13,False,False,United Kingdom,,,,DNV careers,"['sql', 'python', 'power bi', 'tableau']","{'analyst_tools': ['power bi', 'tableau'], 'programming': ['sql', 'python']}"
Data Scientist,وظائف Data Scientist – ملوي,"Minuf, Madinet Menuf, Menouf City, Egypt",via وظائف,Full-time,False,Egypt,2024-01-01 00:27:29,False,False,Egypt,,,,شركة عالمية,,
Data Scientist,وظائف Data Scientist – القاهرة,"Cairo, Egypt",via وظائف,Full-time,False,Egypt,2024-01-01 00:27:29,False,False,Egypt,,,,مؤسسة دولية,,
Data Scientist,Data Scientist,"Alexandria, Egypt",via وظائف,Full-time,False,Egypt,2024-01-01 00:27:29,False,False,Egypt,,,,شركة كبرى,,
Data Scientist,Data Scientist  Buna,"Alexandria, Egypt",via وظائف,Full-time,False,Egypt,2024-01-01 00:27:29,False,False,Egypt,,,,مجموعة شركات,,
Data Engineer,AWS Data Engineer,Italy,via BeBee,Full-time,False,Italy,2024-01-01 00:27:43,True,False,Italy,,,,NTT DATA,"['java', 'scala', 'python', 'shell', 'aws', 'gcp', 'azure', 'docker', 'kubernetes']","{'cloud': ['aws', 'gcp', 'azure'], 'other': ['docker', 'kubernetes'], 'programming': ['java', 'scala', 'python', 'shell']}"
Software Engineer,Qlik Expert,"Rende, Province of Cosenza, Italy",via BeBee,Full-time,False,Italy,2024-01-01 00:27:47,True,False,Italy,,,,NTT DATA,"['html', 'javascript', 'qlik']","{'analyst_tools': ['qlik'], 'programming': ['html', 'javascript']}"
Data Engineer,"Data engineer в направление HR аналитики, Москва","Moscow, Russia",via VK Team,Full-time,False,Russia,2024-01-01 00:28:15,True,False,Russia,,,,"Mail.Ru Group, Департамент персонала","['python', 'sql', 'postgresql', 'mysql', 'airflow', 'docker']","{'databases': ['postgresql', 'mysql'], 'libraries': ['airflow'], 'other': ['docker'], 'programming': ['python', 'sql']}"
Data Engineer,"Data Engineer, Москва","Moscow, Russia",via VK Team,Full-time,False,Russia,2024-01-01 00:28:15,True,False,Russia,,,,"Mail.Ru Group, Медиапроекты","['sql', 'python', 'bash', 'airflow', 'hadoop']","{'libraries': ['airflow', 'hadoop'], 'programming': ['sql', 'python', 'bash']}"
Machine Learning Engineer,"ML инженер, Москва","Moscow, Russia",via VK Team,Full-time,False,Russia,2024-01-01 00:28:15,False,False,Russia,,,,"Mail.Ru Group, Облако Mail.ru","['python', 'numpy', 'scikit-learn', 'opencv', 'dlib']","{'libraries': ['numpy', 'scikit-learn', 'opencv', 'dlib'], 'programming': ['python']}"
Data Analyst,"Data Analyst, Москва","Moscow, Russia",via VK Team,Full-time,False,Russia,2024-01-01 00:28:15,True,False,Russia,,,,"Mail.Ru Group, VK Predict","['bash', 'python', 'sql', 'numpy', 'pandas', 'hadoop', 'spark', 'airflow', 'git']","{'libraries': ['numpy', 'pandas', 'hadoop', 'spark', 'airflow'], 'other': ['git'], 'programming': ['bash', 'python', 'sql']}"
Software Engineer,"Ведущий Python-разработчик в Scrooge в VK Cloud, Москва","Moscow, Russia",via VK Team,Full-time,False,Russia,2024-01-01 00:28:15,True,False,Russia,,,,"Mail.Ru Group, VK Cloud","['python', 'linux']","{'os': ['linux'], 'programming': ['python']}"
Data Engineer,Business Intelligence Data Engineer,"North Holland, Netherlands",via WANE Jobs,Full-time,False,Netherlands,2024-01-01 00:28:42,True,False,Netherlands,,,,Dijklander Ziekenhuis,"['sql', 'ssrs', 'power bi']","{'analyst_tools': ['ssrs', 'power bi'], 'programming': ['sql']}"
Data Engineer,"Data Engineer, Product Analytics","Bellevue, WA",via The Muse,Full-time,False,Georgia,2024-01-01 00:32:18,False,False,United States,,,,Meta,"['sql', 'python', 'c++', 'c#', 'scala']","{'programming': ['sql', 'python', 'c++', 'c#', 'scala']}"
Data Scientist,Data Science,"Watauga, TX",via BeBee,Full-time,False,Sudan,2024-01-01 00:40:00,False,True,Sudan,,,,Lockheed Martin,"['sql', 'python', 'tableau']","{'analyst_tools': ['tableau'], 'programming': ['sql', 'python']}"
Data Analyst,Database Analyst,"Chicago, IL",via BeBee,Full-time,False,"Illinois, United States",2024-01-01 01:00:25,False,False,United States,,,,Metropolitan Water Reclamation District of Greater Chicago,"['sql', 'sql server']","{'databases': ['sql server'], 'programming': ['sql']}"
Senior Data Engineer,"Senior Data Engineer (Minneapolis, MN)","Minnetonka, MN",via Built In,Full-time,False,"Illinois, United States",2024-01-01 01:02:49,False,False,United States,,,,Medica,"['sql', 'python', 'c', 'snowflake', 'oracle', 'azure', 'aws', 'flow']","{'cloud': ['snowflake', 'oracle', 'azure', 'aws'], 'other': ['flow'], 'programming': ['sql', 'python', 'c']}"
Data Engineer,"Snowflake Data Engineer (Dallas, TX)",Texas,via Built In,Full-time,False,"Illinois, United States",2024-01-01 01:02:52,False,True,United States,year,120000.0,,Confie,"['python', 'sql', 'snowflake', 'azure', 'databricks', 'bigquery', 'aws', 'redshift', 'gcp', 'airflow', 'pandas', 'numpy', 'matplotlib', 'seaborn', 'scikit-learn']","{'cloud': ['snowflake', 'azure', 'databricks', 'bigquery', 'aws', 'redshift', 'gcp'], 'libraries': ['airflow', 'pandas', 'numpy', 'matplotlib', 'seaborn', 'scikit-learn'], 'programming': ['python', 'sql']}"
Business Analyst,Junior Client Service Manager Marktforschung - 100% Homeoffice...,Germany,via Stepstone,Full-time,False,Germany,2024-01-01 01:04:04,False,False,Germany,,,,FOCUS Marketing Research GmbH,,
